Shipment_ID,Distance_km,Shipment_Weight_kg,Delivery_Time_Hours,Transportation_Cost,Traffic_Level,Weather,Vehicle_Type,Delayed
S047,465,89.7,29.2,4457.21,Medium,Clear,Van,1
S048,194,48.1,14.0,2254.45,Medium,Clear,Van,0
S049,465,56.8,27.0,3965.33,Medium,Clear,Van,1
S050,70,69.9,16.1,1478.78,Medium,Rain,Truck,0
S051,383,14.8,21.4,3116.22,Low,Clear,Truck,1
S052,74,60.8,9.2,1484.31,Low,Clear,Van,0
S053,263,54.4,19.0,2345.26,Low,Clear,Bike,0
S054,339,21.1,30.5,2579.72,High,Cloudy,Van,1
S055,150,94.3,17.1,2363.18,High,Clear,Van,0
S056,326,60.3,24.1,2889.05,Medium,Rain,Van,1
S057,154,69.8,14.3,1334.52,High,Cloudy,Van,0
S058,40,88.2,1.4,558.53,Medium,Clear,Truck,0
S059,348,62.8,26.1,2755.3,Medium,Cloudy,Truck,1
S060,186,30.3,19.9,2006.9,Medium,Rain,Truck,0
S061,293,11.4,19.6,2394.2,Low,Clear,Van,0
S062,407,46.2,21.7,4244.69,Low,Clear,Van,1
S063,108,22.6,16.1,1506.86,Medium,Rain,Van,0
S064,335,42.2,21.7,2972.4,Medium,Clear,Bike,1
S065,33,88.4,4.8,1316.66,Low,Cloudy,Van,0
S066,261,33.1,20.4,2113.02,High,Clear,Truck,0
S067,284,13.1,23.1,1719.77,Medium,Rain,Bike,1
S068,365,36.3,19.3,2734.5,Low,Clear,Truck,0
S069,72,90.8,14.1,1180.12,High,Cloudy,Bike,0
S070,405,27.9,34.0,3265.16,High,Rain,Van,1
S071,359,65.1,31.1,3454.0,High,Clear,Truck,1
S072,111,1.1,8.6,973.84,Low,Clear,Truck,0
S073,386,35.9,22.8,3498.36,Medium,Clear,Truck,1
S074,463,31.2,30.6,4318.24,Medium,Clear,Van,1
S075,474,17.3,27.9,3768.16,Medium,Clear,Van,1
S076,447,53.9,33.1,3969.35,High,Rain,Van,1
S077,283,49.0,17.4,1908.82,Medium,Clear,Truck,0
S078,450,69.6,31.7,3824.84,High,Rain,Bike,1
S079,54,27.7,10.2,278.46,High,Cloudy,Truck,0
S080,225,25.2,25.8,2031.73,High,Rain,Van,1
S081,100,17.7,18.6,1092.25,Medium,Rain,Bike,0
S082,439,22.7,28.3,3656.09,Low,Rain,Van,1
S083,69,56.3,11.9,782.81,Medium,Clear,Van,0
S084,379,41.0,27.9,4011.46,High,Clear,Van,1
S085,407,7.4,20.4,2821.99,Low,Clear,Truck,0
S086,21,26.1,7.6,100.0,Medium,Clear,Van,0
S087,409,25.4,25.7,3941.04,Low,Clear,Truck,1
S088,73,69.9,14.3,795.55,Medium,Clear,Bike,0
S089,125,71.5,12.8,1108.61,High,Cloudy,Van,0
S090,279,15.7,32.7,3149.17,High,Rain,Truck,1
S091,329,99.8,26.6,3441.6,Low,Clear,Van,1
S092,496,27.4,34.9,3815.24,High,Clear,Van,1
S093,210,97.7,17.2,2270.78,Medium,Clear,Truck,0
S094,421,41.7,26.4,4206.2,Medium,Clear,Van,1
S095,237,4.3,17.4,2218.92,Medium,Clear,Truck,0
S096,63,35.2,8.9,1261.05,Medium,Cloudy,Truck,0
S097,181,63.8,16.8,2106.28,Medium,Clear,Truck,0
S098,221,68.4,18.1,2470.89,Medium,Cloudy,Truck,0
S099,465,53.6,33.5,3922.61,Low,Cloudy,Truck,1
S100,289,45.3,19.3,2555.32,Low,Clear,Truck,0
